Frame,People Count,Status,Time
1,18,OVERCROWDED,19:03:43
2,17,OVERCROWDED,19:03:43
3,18,OVERCROWDED,19:03:44
4,18,OVERCROWDED,19:03:44
5,16,OVERCROWDED,19:03:44
6,17,OVERCROWDED,19:03:44
7,17,OVERCROWDED,19:03:44
8,17,OVERCROWDED,19:03:44
9,17,OVERCROWDED,19:03:44
10,18,OVERCROWDED,19:03:44
11,18,OVERCROWDED,19:03:45
12,18,OVERCROWDED,19:03:45
13,17,OVERCROWDED,19:03:45
14,17,OVERCROWDED,19:03:45
15,17,OVERCROWDED,19:03:45
16,17,OVERCROWDED,19:03:45
17,18,OVERCROWDED,19:03:45
18,17,OVERCROWDED,19:03:45
19,19,OVERCROWDED,19:03:46
20,18,OVERCROWDED,19:03:46
21,18,OVERCROWDED,19:03:46
22,18,OVERCROWDED,19:03:46
23,18,OVERCROWDED,19:03:46
24,17,OVERCROWDED,19:03:46
25,18,OVERCROWDED,19:03:46
26,16,OVERCROWDED,19:03:46
27,17,OVERCROWDED,19:03:47
28,17,OVERCROWDED,19:03:47
29,18,OVERCROWDED,19:03:47
30,17,OVERCROWDED,19:03:47
31,18,OVERCROWDED,19:03:47
32,17,OVERCROWDED,19:03:47
33,17,OVERCROWDED,19:03:47
34,17,OVERCROWDED,19:03:47
35,18,OVERCROWDED,19:03:47
36,18,OVERCROWDED,19:03:48
37,18,OVERCROWDED,19:03:48
38,18,OVERCROWDED,19:03:48
39,18,OVERCROWDED,19:03:48
40,19,OVERCROWDED,19:03:48
41,17,OVERCROWDED,19:03:48
42,16,OVERCROWDED,19:03:48
43,16,OVERCROWDED,19:03:48
44,16,OVERCROWDED,19:03:49
45,16,OVERCROWDED,19:03:49
46,16,OVERCROWDED,19:03:49
47,16,OVERCROWDED,19:03:49
48,16,OVERCROWDED,19:03:49
49,16,OVERCROWDED,19:03:49
50,17,OVERCROWDED,19:03:49
51,17,OVERCROWDED,19:03:49
52,17,OVERCROWDED,19:03:50
53,15,OVERCROWDED,19:03:50
54,14,OVERCROWDED,19:03:50
55,14,OVERCROWDED,19:03:50
56,16,OVERCROWDED,19:03:50
57,15,OVERCROWDED,19:03:50
58,15,OVERCROWDED,19:03:50
59,16,OVERCROWDED,19:03:50
60,16,OVERCROWDED,19:03:50
61,15,OVERCROWDED,19:03:51
62,14,OVERCROWDED,19:03:51
63,15,OVERCROWDED,19:03:51
64,15,OVERCROWDED,19:03:51
65,15,OVERCROWDED,19:03:51
66,15,OVERCROWDED,19:03:51
67,16,OVERCROWDED,19:03:51
68,16,OVERCROWDED,19:03:51
69,17,OVERCROWDED,19:03:52
70,17,OVERCROWDED,19:03:52
71,17,OVERCROWDED,19:03:52
